source,case,arm,layout,width,fraction_bits,degree,reductions,status,deterministic_upper,ae_size,a_calls,conservative_cx,control_cancelled_cx,a_qubits,total_qubits
primary,D2,range_reduced,retained,48,20,8,1,ideal_plan,0.19044329676811933653090309691078284029440254387353424137547439164151182455572611,2048,69615,22636199649773,2643769576599,4321,8651
primary,D2,range_reduced,reused,48,20,8,1,ideal_plan,0.19044329676811933653090309691078284029440254387353424137547439164151182455572611,2048,69615,22635627136625,2643197063451,1579,3167
primary,D2,range_reduced,retained,48,20,8,2,ideal_plan,0.19126587759310145366059601550164350817249803563722215158601882042923821405496226,2048,69615,25125963672173,2934388244247,4513,9035
primary,D2,range_reduced,reused,48,20,8,2,ideal_plan,0.19126587759310145366059601550164350817249803563722215158601882042923821405496226,2048,69615,25125361092689,2933785664763,1627,3263
primary,D2,range_reduced,retained,48,20,8,3,ideal_plan,0.19625377187200080780671030561462969180088609503734942502422804465417276993228275,2048,69615,27615727694573,3225006911895,4705,9419
primary,D2,range_reduced,reused,48,20,8,3,ideal_plan,0.19625377187200080780671030561462969180088609503734942502422804465417276993228275,2048,69615,27615095048753,3224374266075,1675,3359
primary,D2,range_reduced,retained,48,20,12,1,ideal_plan,0.19029708420122014262585048163633322177648046014683482488111237892489227837157532,2048,69615,25132386915181,2935136744727,4513,9035
primary,D2,range_reduced,reused,48,20,12,1,ideal_plan,0.19029708420122014262585048163633322177648046014683482488111237892489227837157532,2048,69615,25131784335697,2934534165243,1627,3263
primary,D2,range_reduced,retained,48,20,12,2,ideal_plan,0.19126618173183599379581301053044766236377744689855599181651581225777116831362689,2048,69615,27622150937581,3225755412375,4705,9419
primary,D2,range_reduced,reused,48,20,12,2,ideal_plan,0.19126618173183599379581301053044766236377744689855599181651581225777116831362689,2048,69615,27621518291761,3225122766555,1675,3359
primary,D2,range_reduced,retained,48,20,12,3,ideal_plan,0.19625377997691549970501771033340382942619792044489948438642428312470280291143846,2048,69615,30111914959981,3516374080023,4897,9803
