pt_idx,S0,K,T,r,sigma,ref_source,p,sim_price,ref_price,delta,oracle_queries
10,110.0,100.0,0.75,0.05,0.3,grid,0,18.57890979730454,18.469517885273923,0.10939191203061682,15
10,110.0,100.0,0.75,0.05,0.3,grid,0.0001,18.338962059182386,18.469517885273923,0.1305558260915376,13
10,110.0,100.0,0.75,0.05,0.3,grid,0.001,20.195331777788418,18.469517885273923,1.7258138925144948,17
10,110.0,100.0,0.75,0.05,0.3,grid,0.005,19.534401672459325,18.469517885273923,1.0648837871854013,15
10,110.0,100.0,0.75,0.05,0.3,grid,0.01,26.622615060264945,18.469517885273923,8.153097174991021,19
11,100.0,105.0,0.5,0.05,0.3,grid,0,8.12743756005373,7.918663038907919,0.20877452114581097,15
11,100.0,105.0,0.5,0.05,0.3,grid,0.0001,7.736549648168949,7.918663038907919,0.18211339073897026,11
11,100.0,105.0,0.5,0.05,0.3,grid,0.001,8.87757836332171,7.918663038907919,0.9589153244137911,15
11,100.0,105.0,0.5,0.05,0.3,grid,0.005,8.244210547560904,7.918663038907919,0.3255475086529849,13
11,100.0,105.0,0.5,0.05,0.3,grid,0.01,14.28594345070706,7.918663038907919,6.3672804117991415,17
12,100.0,105.0,0.5,0.05,0.15,grid,0,3.5725009986872136,3.439889159808615,0.1326118388785984,13
12,100.0,105.0,0.5,0.05,0.15,grid,0.0001,3.320709053256082,3.439889159808615,0.11918010655253308,11
12,100.0,105.0,0.5,0.05,0.15,grid,0.001,3.4817845304157484,3.439889159808615,0.04189537060713322,13
12,100.0,105.0,0.5,0.05,0.15,grid,0.005,6.383276497160688,3.439889159808615,2.943387337352073,17
12,100.0,105.0,0.5,0.05,0.15,grid,0.01,5.6085558341937665,3.439889159808615,2.1686666743851513,15
13,80.0,95.0,2.0,0.05,0.3,grid,0,11.363416532092875,10.93062135911185,0.43279517298102554,13
13,80.0,95.0,2.0,0.05,0.3,grid,0.0001,11.519746834568473,10.93062135911185,0.5891254754566226,13
13,80.0,95.0,2.0,0.05,0.3,grid,0.001,11.853172403301752,10.93062135911185,0.9225510441899019,13
13,80.0,95.0,2.0,0.05,0.3,grid,0.005,13.127766129333109,10.93062135911185,2.197144770221259,13
13,80.0,95.0,2.0,0.05,0.3,grid,0.01,23.414069353650056,10.93062135911185,12.483447994538206,17
14,90.0,105.0,0.25,0.05,0.15,grid,0,0.16298520949780126,0.15326645567582078,0.00971875382198048,17
14,90.0,105.0,0.25,0.05,0.15,grid,0.0001,0.139747887896063,0.15326645567582078,0.013518567779757795,19
14,90.0,105.0,0.25,0.05,0.15,grid,0.001,0.15258817433466623,0.15326645567582078,0.0006782813411545519,11
14,90.0,105.0,0.25,0.05,0.15,grid,0.005,0.2933983581387597,0.15326645567582078,0.1401319024629389,11
14,90.0,105.0,0.25,0.05,0.15,grid,0.01,0.8702585547554134,0.15326645567582078,0.7169920990795926,13
15,90.0,105.0,1.0,0.05,0.3,grid,0,7.150412719358314,7.006885169277485,0.14352755008082863,11
15,90.0,105.0,1.0,0.05,0.3,grid,0.0001,7.2345423884838915,7.006885169277485,0.22765721920640658,13
15,90.0,105.0,1.0,0.05,0.3,grid,0.001,7.335395252306165,7.006885169277485,0.32851008302868046,13
15,90.0,105.0,1.0,0.05,0.3,grid,0.005,9.663598476756638,7.006885169277485,2.656713307479153,13
15,90.0,105.0,1.0,0.05,0.3,grid,0.01,13.833076276547631,7.006885169277485,6.826191107270146,15
16,120.0,95.0,0.25,0.05,0.2,grid,0,26.273546716117135,26.18418909701739,0.0893576190997436,15
16,120.0,95.0,0.25,0.05,0.2,grid,0.0001,26.77073840495642,26.18418909701739,0.5865493079390269,13
16,120.0,95.0,0.25,0.05,0.2,grid,0.001,27.606768626134023,26.18418909701739,1.422579529116632,11
16,120.0,95.0,0.25,0.05,0.2,grid,0.005,29.763518096732867,26.18418909701739,3.579328999715475,13
16,120.0,95.0,0.25,0.05,0.2,grid,0.01,30.498967513550028,26.18418909701739,4.314778416532636,11
17,100.0,100.0,1.0,0.05,0.15,grid,0,8.427808017310786,8.707256534963411,0.27944851765262513,15
17,100.0,100.0,1.0,0.05,0.15,grid,0.0001,8.875645516392359,8.707256534963411,0.1683889814289472,15
17,100.0,100.0,1.0,0.05,0.15,grid,0.001,9.56248239938367,8.707256534963411,0.8552258644202588,17
17,100.0,100.0,1.0,0.05,0.15,grid,0.005,9.269556072889701,8.707256534963411,0.5622995379262896,15
17,100.0,100.0,1.0,0.05,0.15,grid,0.01,9.64194427150915,8.707256534963411,0.9346877365457384,15
18,120.0,110.0,0.5,0.05,0.15,grid,0,14.070655291840216,13.857531419056661,0.21312387278355516,17
18,120.0,110.0,0.5,0.05,0.15,grid,0.0001,14.971769957956516,13.857531419056661,1.1142385388998548,7
18,120.0,110.0,0.5,0.05,0.15,grid,0.001,13.944591153714923,13.857531419056661,0.08705973465826133,19
18,120.0,110.0,0.5,0.05,0.15,grid,0.005,20.305680940402294,13.857531419056661,6.448149521345632,7
18,120.0,110.0,0.5,0.05,0.15,grid,0.01,12.017666555008628,13.857531419056661,1.8398648640480335,17
19,90.0,100.0,0.5,0.05,0.15,grid,0,1.6820045298864168,1.5368329131643093,0.14517161672210754,11
19,90.0,100.0,0.5,0.05,0.15,grid,0.0001,1.4995682748976296,1.5368329131643093,0.037264638266679695,11
